filename,width,height,class,xmin,ymin,xmax,ymax
1.jpg,2048,1251,wally,706,513,743,562
10.jpg,1600,980,wally,715,157,733,181
11.jpg,2828,1828,wally,460,1530,482,1557
12.jpg,1276,1754,wally,846,517,878,563
13.jpg,1280,864,wally,932,274,942,288
14.jpg,1700,2340,wally,197,1878,237,1919
15.jpg,1600,1006,wally,297,428,311,445
17.jpg,1599,1230,wally,751,250,772,281
18.jpg,1590,981,wally,1259,75,1290,111
19.jpg,1280,864,wally,338,623,351,640
2.jpg,1286,946,wally,82,521,107,554
3.jpg,2048,1346,wally,1390,463,1422,500
4.jpg,2048,1272,wally,1484,279,1507,306
5.jpg,2100,1760,wally,882,594,913,634
6.jpg,2048,1454,wally,1715,408,1754,452
7.jpg,1949,1419,wally,817,951,852,999
8.jpg,2800,1760,wally,1166,291,1191,322
9.jpg,1298,951,wally,231,735,261,769
8.jpg,2800,1760,wally,618,130,707,227
10.jpg,1600,980,wally,428,83,483,145
16.jpg,1525,3415,wally,556,0,1140,630
20.jpg,2953,2088,wally,290,1680,331,1731
21.jpg,2048,1515,wally,1321,1366,1350,1398
22.jpg,960,671,wally,470,125,484,141
23.jpg,2560,1680,wally,1422,728,1440,755
24.jpg,1772,1112,wally,723,1055,741,1076
25.jpg,736,536,wally,461,44,474,60
26.jpg,954,702,wally,883,332,904,353
27.jpg,700,700,wally,132,82,152,106
28.jpg,661,720,wally,485,502,498,517
29.jpg,1286,944,wally,930,594,948,617
30.jpg,900,648,wally,678,496,693,516
31.jpg,500,256,wally,401,5,440,52
32.jpg,325,300,wally,145,18,186,68
33.jpg,456,256,wally,145,0,314,176
34.jpg,413,500,wally,175,2,290,132
35.jpg,600,374,wally,300,44,515,254
36.jpg,591,629,wally,171,20,196,48
36.jpg,591,629,wally,270,5,300,42
36.jpg,591,629,wally,358,5,388,38
36.jpg,591,629,wally,449,8,479,40
36.jpg,591,629,wally,527,15,554,48
36.jpg,464,547,wally,94,270,106,279
