filename,width,height,class,xmin,ymin,xmax,ymax
wally_2020_2_9_787050_yejy.jpg,256,256,waldo,108,21,147,77
wally_2020_2_9_787050_yejy.jpg,256,256,waldo,105,20,151,149
wally_2020_2_9_787050_yejy.jpg,256,256,waldo,106,21,151,174
wally_2020_2_9_829475_tjbd.jpg,340,275,waldo,92,2,206,138
wally_2020_2_9_829475_tjbd.jpg,340,275,waldo,5,1,270,331
wally_2020_2_9_122132_dqiy.jpg,256,256,waldo,106,103,149,153
wally_2020_2_9_214129_itrm.jpg,256,256,waldo,100,83,156,150
wally_2020_2_9_449044_wcoq.jpg,257,256,waldo,121,118,135,139
wally_2020_2_9_868522_xjmo.jpg,257,256,waldo,110,112,146,145
wally_2020_2_9_371213_olvs.jpg,257,256,waldo,112,98,135,122
wally_2020_2_9_371213_olvs.jpg,257,256,waldo,113,97,147,175
wally_2020_2_9_371213_olvs.jpg,257,256,waldo,112,96,144,161
wally_2020_2_9_171448_jwoy.jpg,256,256,waldo,121,44,135,62
wally_2020_2_9_742120_hwds.jpg,256,256,waldo,114,79,145,130
wally_2020_2_9_742120_hwds.jpg,256,256,waldo,109,77,147,179
wally_2020_2_9_783136_aesh.jpg,256,256,waldo,119,109,133,127
wally_2020_2_9_783136_aesh.jpg,256,256,waldo,110,109,145,147
wally_2020_2_9_783136_aesh.jpg,256,256,waldo,112,110,145,158
wally_2020_2_9_822169_jbdf.jpg,256,256,waldo,212,6,242,45
wally_2020_2_9_822169_jbdf.jpg,256,256,waldo,180,4,250,91
wally_2020_2_9_822169_jbdf.jpg,256,256,waldo,110,19,145,55
wally_2020_2_9_340663_dral.jpg,256,256,waldo,197,92,224,149
wally_2020_2_9_340663_dral.jpg,256,256,waldo,177,88,230,219
wally_2020_2_9_590409_vted.jpg,256,256,waldo,115,100,138,128
wally_2020_2_9_590409_vted.jpg,256,256,waldo,116,97,139,159
wally_2020_2_9_840431_xmpt.jpg,256,256,waldo,29,6,59,45
wally_2020_2_9_840431_xmpt.jpg,256,256,waldo,116,4,149,43
wally_2020_2_9_840431_xmpt.jpg,256,256,waldo,93,5,162,112
wally_2020_2_9_840431_xmpt.jpg,256,256,waldo,210,9,239,44
wally_2020_2_9_698852_keun.jpg,257,256,waldo,78,77,178,180
wally_2020_2_9_611336_pvcl.jpg,256,256,waldo,118,197,138,223
wally_2020_2_9_611336_pvcl.jpg,256,256,waldo,118,199,137,230
wally_2020_2_9_272032_uncm.jpg,256,256,waldo,121,118,135,138
wally_2020_2_9_272032_uncm.jpg,256,256,waldo,121,118,133,149
wally_2020_2_9_306259_regu.jpg,256,256,waldo,78,149,106,193
wally_2020_2_9_306259_regu.jpg,256,256,waldo,88,118,117,157
